bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,price
4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3.0,8.0,2570.0,0.0,2005.0,0.0,98052.0,47.7073,-122.11,2630.0,71.9
3.0,2.25,1610.0,6655.0,2.0,0.0,0.0,4.0,7.0,1610.0,0.0,1985.0,0.0,98058.0,47.4296,-122.161,1780.0,35.8
3.0,2.0,1410.0,5760.0,1.0,0.0,0.0,3.0,7.0,1410.0,0.0,1985.0,0.0,98030.0,47.3702,-122.185,1670.0,24.5
4.0,1.0,1400.0,7242.0,1.5,0.0,0.0,3.0,7.0,1400.0,0.0,1959.0,0.0,98188.0,47.4339,-122.291,1310.0,23.8
2.0,1.75,1350.0,4003.0,1.0,0.0,0.0,3.0,8.0,1350.0,0.0,2004.0,0.0,98053.0,47.7176,-122.033,1350.0,43.0
2.0,2.5,1400.0,2958.0,2.0,0.0,0.0,3.0,8.0,1400.0,0.0,2007.0,0.0,98126.0,47.5496,-122.373,1540.0,37.25
3.0,1.75,1580.0,7000.0,1.0,0.0,0.0,3.0,7.0,1180.0,400.0,1976.0,0.0,98034.0,47.7209,-122.168,1640.0,37.0
2.0,1.0,1000.0,10320.0,1.0,0.0,0.0,3.0,6.0,1000.0,0.0,1943.0,0.0,98106.0,47.527,-122.356,1100.0,27.0
2.0,2.5,1230.0,1391.0,2.0,0.0,0.0,3.0,8.0,870.0,360.0,2004.0,0.0,98112.0,47.6192,-122.301,1240.0,49.0
3.0,1.0,1810.0,7200.0,1.0,0.0,0.0,4.0,7.0,1130.0,680.0,1954.0,0.0,98133.0,47.7493,-122.351,1810.0,43.1
3.0,2.75,2770.0,3809.0,1.5,0.0,0.0,5.0,7.0,1770.0,1000.0,1925.0,0.0,98144.0,47.5747,-122.304,1440.0,31.7625
5.0,2.5,2820.0,9375.0,1.0,0.0,0.0,4.0,8.0,1550.0,1270.0,1968.0,0.0,98006.0,47.5707,-122.128,2820.0,52.77
4.0,2.5,2780.0,10480.0,1.0,0.0,3.0,3.0,7.0,1390.0,1390.0,1967.0,0.0,98033.0,47.6597,-122.204,2860.0,99.0
4.0,1.0,1300.0,6030.0,1.5,0.0,0.0,3.0,6.0,1300.0,0.0,1947.0,0.0,98168.0,47.4778,-122.286,1240.0,17.5
3.0,2.5,3180.0,10492.0,2.0,0.0,2.0,3.0,10.0,3180.0,0.0,1991.0,0.0,98052.0,47.655,-122.124,3000.0,100.0
6.0,1.75,2240.0,11180.0,2.0,0.0,0.0,4.0,7.0,2240.0,0.0,1955.0,0.0,98198.0,47.42,-122.323,1590.0,27.9
3.0,1.0,1290.0,12231.0,1.0,0.0,0.0,3.0,7.0,1290.0,0.0,1976.0,0.0,98072.0,47.7404,-122.11,1390.0,32.3
3.0,1.75,1560.0,3000.0,1.0,0.0,0.0,4.0,6.0,770.0,790.0,1918.0,0.0,98103.0,47.6846,-122.345,1390.0,48.1
3.0,1.75,1410.0,9315.0,1.0,0.0,0.0,5.0,7.0,1410.0,0.0,1960.0,0.0,98031.0,47.3969,-122.198,1630.0,25.5
3.0,1.75,1490.0,7150.0,1.0,0.0,0.0,5.0,6.0,1490.0,0.0,1967.0,0.0,98059.0,47.5015,-122.124,1350.0,31.0
3.0,1.75,1920.0,3300.0,1.0,0.0,0.0,4.0,8.0,960.0,960.0,1913.0,0.0,98112.0,47.6239,-122.298,1740.0,72.5
4.0,2.5,2156.0,3562.0,2.0,0.0,0.0,3.0,9.0,2156.0,0.0,2012.0,0.0,98030.0,47.3591,-122.201,1708.0,34.75
4.0,2.5,2620.0,5450.0,2.0,0.0,0.0,3.0,9.0,2620.0,0.0,2001.0,0.0,98074.0,47.6301,-122.019,2590.0,64.8
3.0,2.5,2753.0,65005.0,1.0,1.0,2.0,5.0,9.0,2165.0,588.0,1953.0,0.0,98070.0,47.4041,-122.451,2680.0,135.0
5.0,2.5,3160.0,11470.0,1.0,0.0,0.0,4.0,9.0,1780.0,1380.0,1971.0,0.0,98040.0,47.5368,-122.216,3260.0,98.0
2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3.0,6.0,770.0,0.0,1933.0,0.0,98028.0,47.7379,-122.233,2720.0,18.0
3.0,2.25,2120.0,18500.0,2.0,0.0,0.0,4.0,8.0,2120.0,0.0,1983.0,0.0,98031.0,47.3914,-122.169,2120.0,37.5
1.0,0.75,560.0,12120.0,1.0,0.0,0.0,3.0,4.0,560.0,0.0,1967.0,0.0,98014.0,47.675,-121.854,1300.0,29.9
3.0,2.0,1480.0,6698.0,1.0,0.0,0.0,4.0,7.0,1080.0,400.0,1979.0,0.0,98058.0,47.4614,-122.168,1850.0,30.0
4.0,1.75,1570.0,8268.0,1.0,0.0,0.0,3.0,7.0,1570.0,0.0,1979.0,0.0,98011.0,47.7373,-122.197,1870.0,45.2
4.0,2.5,2580.0,5823.0,2.0,0.0,0.0,3.0,8.0,2580.0,0.0,2002.0,0.0,98065.0,47.5374,-121.875,2380.0,55.225
2.0,1.0,740.0,6460.0,1.0,0.0,0.0,3.0,6.0,740.0,0.0,1953.0,0.0,98146.0,47.5077,-122.344,1170.0,17.85
3.0,2.5,1950.0,8130.0,2.0,0.0,0.0,4.0,9.0,1950.0,0.0,1990.0,0.0,98042.0,47.3875,-122.161,2350.0,32.85
2.0,1.0,1220.0,75794.0,1.0,0.0,0.0,4.0,7.0,1220.0,0.0,1963.0,0.0,98038.0,47.4219,-122.007,2010.0,30.0
3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,4.0,8.0,1090.0,0.0,1929.0,0.0,98117.0,47.6889,-122.375,1570.0,53.5
2.0,1.5,1190.0,1265.0,3.0,0.0,0.0,3.0,7.0,1190.0,0.0,2005.0,0.0,98133.0,47.7274,-122.357,1390.0,28.0
4.0,2.75,2280.0,15347.0,1.0,0.0,0.0,5.0,7.0,2280.0,0.0,1960.0,0.0,98059.0,47.5218,-122.164,2280.0,50.0
4.0,2.0,1520.0,6174.0,1.5,0.0,0.0,5.0,6.0,1520.0,0.0,1920.0,0.0,98022.0,47.2105,-121.989,1390.0,21.0
3.0,2.5,2140.0,9897.0,1.0,0.0,0.0,4.0,8.0,2140.0,0.0,1959.0,0.0,98040.0,47.5505,-122.219,2680.0,79.9
2.0,1.0,1070.0,5000.0,1.0,0.0,0.0,3.0,7.0,1070.0,0.0,1924.0,0.0,98103.0,47.6666,-122.331,1710.0,64.0
4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5.0,7.0,1050.0,910.0,1965.0,0.0,98136.0,47.5208,-122.393,1360.0,60.4
3.0,1.0,910.0,8450.0,1.0,0.0,0.0,4.0,6.0,910.0,0.0,1962.0,0.0,98059.0,47.4787,-122.158,1400.0,27.425
3.0,1.75,1900.0,5000.0,1.0,0.0,0.0,5.0,7.0,950.0,950.0,1951.0,0.0,98116.0,47.5789,-122.393,1770.0,61.5
4.0,3.5,4270.0,40097.0,1.0,0.0,0.0,4.0,12.0,4270.0,0.0,1993.0,0.0,98077.0,47.7354,-122.078,3510.0,110.0
4.0,2.75,1800.0,7750.0,1.0,0.0,0.0,4.0,8.0,1400.0,400.0,1965.0,0.0,98177.0,47.7776,-122.384,1800.0,55.0
5.0,1.75,2030.0,12342.0,2.0,0.0,0.0,4.0,7.0,2030.0,0.0,1942.0,0.0,98052.0,47.6417,-122.109,2500.0,47.0
4.0,3.0,2290.0,8250.0,2.0,0.0,0.0,3.0,9.0,2290.0,0.0,1990.0,0.0,98042.0,47.3739,-122.156,2290.0,32.85
3.0,1.0,1040.0,5060.0,1.0,0.0,0.0,3.0,7.0,1040.0,0.0,1941.0,0.0,98116.0,47.5636,-122.394,890.0,48.0
3.0,1.0,960.0,6634.0,1.0,0.0,0.0,3.0,6.0,960.0,0.0,1952.0,0.0,98125.0,47.7264,-122.31,1570.0,31.5
5.0,2.25,2500.0,13500.0,1.0,0.0,0.0,3.0,7.0,1850.0,650.0,1979.0,0.0,98072.0,47.7564,-122.144,2300.0,46.7
2.0,1.0,2020.0,6720.0,1.0,0.0,0.0,3.0,7.0,1010.0,1010.0,1948.0,0.0,98118.0,47.5474,-122.291,1720.0,35.5
4.0,2.5,2160.0,8158.0,1.0,0.0,0.0,4.0,8.0,1660.0,500.0,1952.0,0.0,98115.0,47.6948,-122.328,1520.0,58.5
3.0,2.5,1800.0,5761.0,2.0,0.0,0.0,4.0,7.0,1800.0,0.0,1990.0,0.0,98106.0,47.5293,-122.363,1800.0,40.82
3.0,2.0,1230.0,1340.0,2.0,0.0,0.0,3.0,7.0,1020.0,210.0,2003.0,0.0,98106.0,47.526,-122.361,1260.0,20.9
3.0,2.5,2160.0,3000.0,1.5,0.0,0.0,3.0,7.0,1260.0,900.0,1909.0,2011.0,98118.0,47.5644,-122.289,1060.0,37.875
3.0,1.75,1510.0,10248.0,1.0,0.0,0.0,3.0,7.0,1510.0,0.0,1969.0,0.0,98023.0,47.2929,-122.371,1510.0,24.0
4.0,3.25,3180.0,194278.0,2.0,0.0,0.0,3.0,10.0,3180.0,0.0,2005.0,0.0,98059.0,47.4711,-122.084,2200.0,89.0
3.0,3.25,1570.0,1777.0,2.0,0.0,0.0,3.0,8.0,1260.0,310.0,2007.0,0.0,98107.0,47.6655,-122.369,1000.0,57.0
3.0,1.5,1340.0,8450.0,1.0,0.0,0.0,4.0,7.0,1340.0,0.0,1958.0,0.0,98188.0,47.4405,-122.28,1340.0,25.5
4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3.0,11.0,3890.0,1530.0,2001.0,0.0,98053.0,47.6561,-122.005,4760.0,123.0
3.0,2.25,1540.0,17424.0,2.0,0.0,0.0,3.0,7.0,1540.0,0.0,1992.0,0.0,98045.0,47.4429,-121.759,1560.0,31.5
1.0,0.75,430.0,5050.0,1.0,0.0,0.0,2.0,4.0,430.0,0.0,1912.0,0.0,98014.0,47.6499,-121.909,1200.0,8.0
4.0,1.5,1160.0,6400.0,1.0,0.0,0.0,4.0,7.0,1160.0,0.0,1975.0,0.0,98023.0,47.3036,-122.378,1160.0,19.9
3.0,1.0,1120.0,10701.0,1.0,0.0,0.0,3.0,7.0,1120.0,0.0,1954.0,0.0,98106.0,47.5544,-122.358,1130.0,28.5
4.0,1.0,1750.0,9600.0,1.5,0.0,0.0,4.0,7.0,1750.0,0.0,1954.0,0.0,98006.0,47.5759,-122.137,1750.0,42.0
2.0,1.0,1320.0,3090.0,1.0,0.0,0.0,4.0,7.0,1320.0,0.0,1908.0,0.0,98118.0,47.5517,-122.276,1270.0,38.1156
3.0,2.5,2100.0,4700.0,2.0,0.0,0.0,3.0,8.0,2100.0,0.0,1999.0,0.0,98065.0,47.5341,-121.867,2100.0,47.0
2.0,1.5,1380.0,209959.0,1.0,0.0,0.0,1.0,6.0,1380.0,0.0,1954.0,0.0,98011.0,47.7461,-122.195,3130.0,27.0
2.0,1.75,1330.0,6000.0,1.0,0.0,0.0,4.0,7.0,960.0,370.0,1914.0,1945.0,98199.0,47.6539,-122.396,1620.0,56.5
3.0,3.0,4040.0,14338.0,2.0,0.0,0.0,3.0,10.0,3030.0,1010.0,1986.0,0.0,98077.0,47.7268,-122.06,3360.0,95.0
4.0,1.5,1580.0,7350.0,1.0,0.0,0.0,4.0,7.0,960.0,620.0,1963.0,0.0,98052.0,47.6734,-122.154,1560.0,45.2
4.0,2.0,1570.0,9600.0,1.0,0.0,0.0,3.0,6.0,1570.0,0.0,1950.0,0.0,98168.0,47.4965,-122.303,1880.0,17.18
4.0,3.5,2970.0,14486.0,2.0,0.0,0.0,3.0,9.0,2340.0,630.0,1997.0,0.0,98040.0,47.5627,-122.215,3680.0,90.5
3.0,2.0,1810.0,7209.0,1.0,0.0,0.0,4.0,7.0,1240.0,570.0,1978.0,0.0,98032.0,47.3656,-122.278,1750.0,26.0
4.0,1.5,1690.0,11054.0,1.0,0.0,0.0,4.0,5.0,1690.0,0.0,1930.0,0.0,98055.0,47.4667,-122.215,1690.0,23.5
3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3.0,7.0,1890.0,0.0,2003.0,0.0,98038.0,47.3684,-122.031,2390.0,32.3
4.0,2.0,1970.0,6480.0,1.5,0.0,0.0,5.0,7.0,1130.0,840.0,1920.0,0.0,98108.0,47.5511,-122.312,1500.0,42.3
3.0,1.75,1440.0,7070.0,1.0,0.0,0.0,3.0,7.0,1440.0,0.0,1980.0,0.0,98052.0,47.6947,-122.125,1440.0,46.0
4.0,2.5,1900.0,5889.0,2.0,0.0,0.0,3.0,7.0,1900.0,0.0,1992.0,0.0,98038.0,47.349,-122.031,1870.0,36.0
4.0,1.0,2000.0,4800.0,2.0,0.0,0.0,4.0,7.0,2000.0,0.0,1911.0,0.0,98103.0,47.6583,-122.351,1260.0,71.5
3.0,2.5,3180.0,12600.0,2.0,0.0,0.0,4.0,11.0,3180.0,0.0,1978.0,0.0,98074.0,47.6366,-122.058,3030.0,90.0
4.0,2.0,1740.0,9000.0,1.0,0.0,0.0,5.0,8.0,1740.0,0.0,1958.0,0.0,98033.0,47.6815,-122.198,1850.0,71.0
6.0,2.5,4410.0,14034.0,1.0,0.0,2.0,4.0,9.0,2350.0,2060.0,1965.0,0.0,98003.0,47.3376,-122.324,2600.0,47.2
4.0,2.5,1890.0,15770.0,2.0,0.0,0.0,4.0,7.0,1890.0,0.0,1968.0,0.0,98166.0,47.4281,-122.343,2410.0,38.9999
3.0,2.25,1270.0,1566.0,2.0,0.0,0.0,3.0,8.0,1060.0,210.0,2014.0,0.0,98105.0,47.6647,-122.284,1160.0,62.5504
6.0,2.25,2660.0,13579.0,2.0,0.0,0.0,3.0,7.0,2660.0,0.0,1937.0,1990.0,98125.0,47.7142,-122.286,1120.0,45.2
3.0,2.5,2440.0,5750.0,2.0,0.0,2.0,3.0,9.0,1980.0,460.0,2000.0,0.0,98116.0,47.565,-122.381,1520.0,67.99
3.0,2.25,2590.0,9263.0,1.0,0.0,0.0,5.0,8.0,1440.0,1150.0,1977.0,0.0,98028.0,47.7691,-122.262,2580.0,52.0
4.0,2.25,1720.0,9753.0,1.0,0.0,0.0,4.0,7.0,1120.0,600.0,1978.0,0.0,98023.0,47.2922,-122.371,1510.0,26.495
5.0,1.0,1410.0,6750.0,1.5,0.0,0.0,3.0,6.0,1410.0,0.0,1929.0,0.0,98118.0,47.5453,-122.278,1360.0,43.5
4.0,1.75,1810.0,7480.0,1.0,0.0,0.0,3.0,7.0,1230.0,580.0,1977.0,0.0,98023.0,47.3275,-122.361,1870.0,26.0
4.0,2.5,3200.0,36276.0,2.0,0.0,0.0,3.0,9.0,3200.0,0.0,1993.0,0.0,98053.0,47.6304,-121.994,2930.0,73.75
2.0,1.0,1490.0,3825.0,1.0,0.0,0.0,3.0,7.0,860.0,630.0,1929.0,0.0,98117.0,47.6799,-122.381,1460.0,47.5
3.0,1.0,980.0,7000.0,1.0,0.0,0.0,3.0,6.0,980.0,0.0,1953.0,0.0,98133.0,47.7617,-122.357,1220.0,33.0
4.0,2.5,1820.0,7912.0,2.0,0.0,0.0,3.0,7.0,1820.0,0.0,1994.0,0.0,98038.0,47.3845,-122.029,1820.0,32.95
3.0,2.0,2270.0,28025.0,1.0,0.0,0.0,4.0,7.0,1920.0,350.0,1947.0,0.0,98168.0,47.4857,-122.318,1770.0,34.05
3.0,2.0,3660.0,22410.0,1.0,0.0,3.0,4.0,9.0,1830.0,1830.0,1947.0,0.0,98117.0,47.6972,-122.4,2680.0,120.0
4.0,2.0,1440.0,7680.0,1.0,0.0,0.0,3.0,7.0,1200.0,240.0,1971.0,0.0,98034.0,47.7245,-122.2,1460.0,39.7
3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,3.0,7.0,1060.0,0.0,1963.0,0.0,98198.0,47.4095,-122.315,1650.0,29.185
3.0,1.0,1180.0,7669.0,1.0,0.0,0.0,4.0,7.0,1180.0,0.0,1967.0,0.0,98058.0,47.4479,-122.176,1190.0,21.5
4.0,2.5,1560.0,4350.0,2.0,0.0,0.0,3.0,7.0,1560.0,0.0,2003.0,0.0,98056.0,47.5025,-122.186,1560.0,28.0
3.0,1.5,1670.0,8230.0,1.0,0.0,0.0,5.0,7.0,1670.0,0.0,1954.0,0.0,98001.0,47.2613,-122.255,2077.0,22.795
3.0,3.0,2990.0,9773.0,2.0,0.0,0.0,4.0,8.0,2990.0,0.0,1973.0,0.0,98005.0,47.6344,-122.174,2230.0,84.995
3.0,2.5,2250.0,11632.0,2.0,0.0,0.0,3.0,8.0,2250.0,0.0,1988.0,0.0,98056.0,47.5272,-122.169,2360.0,53.8
4.0,2.5,2710.0,5880.0,2.0,0.0,0.0,3.0,9.0,2710.0,0.0,1998.0,0.0,98092.0,47.3314,-122.172,2520.0,37.0
3.0,2.5,3680.0,13384.0,2.0,0.0,0.0,3.0,10.0,3680.0,0.0,1994.0,0.0,98006.0,47.5484,-122.119,3600.0,103.0
4.0,2.0,2490.0,9525.0,2.0,0.0,0.0,5.0,9.0,2490.0,0.0,1968.0,0.0,98040.0,47.5639,-122.217,2770.0,94.0
3.0,2.5,1805.0,3402.0,2.0,0.0,0.0,3.0,7.0,1805.0,0.0,2009.0,0.0,98002.0,47.3521,-122.212,2095.0,26.6
4.0,2.0,2330.0,5000.0,1.5,0.0,0.0,5.0,7.0,1720.0,610.0,1925.0,0.0,98117.0,47.6804,-122.358,2090.0,89.1
5.0,2.75,2160.0,4000.0,1.5,0.0,0.0,5.0,7.0,1530.0,630.0,1927.0,0.0,98105.0,47.667,-122.289,2040.0,67.15
4.0,2.5,1840.0,9611.0,2.0,0.0,0.0,3.0,7.0,1840.0,0.0,1996.0,0.0,98178.0,47.4964,-122.251,1830.0,36.0
3.0,2.5,1780.0,7848.0,1.0,0.0,0.0,3.0,7.0,1320.0,460.0,1978.0,0.0,98038.0,47.3608,-122.056,1680.0,27.05
3.0,1.5,1820.0,10608.0,1.0,0.0,0.0,4.0,7.0,1820.0,0.0,1962.0,0.0,98003.0,47.3366,-122.306,1380.0,26.4
4.0,1.75,2480.0,14782.0,1.0,0.0,3.0,3.0,8.0,1460.0,1020.0,1958.0,0.0,98155.0,47.7646,-122.271,2910.0,55.0
5.0,2.5,2340.0,7200.0,1.0,0.0,0.0,3.0,7.0,1300.0,1040.0,1975.0,0.0,98034.0,47.7206,-122.211,1930.0,47.5
3.0,2.75,2360.0,16117.0,1.0,0.0,0.0,4.0,8.0,1710.0,650.0,1983.0,0.0,98006.0,47.5698,-122.121,2120.0,69.11
3.0,1.0,1430.0,15246.0,1.0,0.0,0.0,4.0,7.0,980.0,450.0,1961.0,0.0,98031.0,47.4075,-122.214,1960.0,23.5
3.0,1.0,1900.0,14400.0,1.0,0.0,0.0,4.0,7.0,1300.0,600.0,1954.0,0.0,98166.0,47.4147,-122.337,1940.0,31.5
3.0,1.75,1470.0,7650.0,1.0,0.0,0.0,3.0,7.0,1130.0,340.0,1983.0,0.0,98059.0,47.4818,-122.161,1590.0,32.8
4.0,2.5,2240.0,12032.0,1.0,0.0,0.0,3.0,9.0,2240.0,0.0,1983.0,0.0,98074.0,47.6143,-122.017,2520.0,59.25
4.0,2.5,3450.0,39683.0,2.0,0.0,0.0,3.0,10.0,3450.0,0.0,2002.0,0.0,98010.0,47.342,-122.025,3350.0,72.0
5.0,2.0,2260.0,12500.0,1.0,0.0,0.0,4.0,8.0,1130.0,1130.0,1960.0,0.0,98032.0,47.3887,-122.286,1360.0,25.8
3.0,2.5,1940.0,9000.0,1.0,0.0,0.0,4.0,7.0,970.0,970.0,1948.0,0.0,98117.0,47.6933,-122.393,2190.0,57.6
3.0,2.25,1270.0,2790.0,1.0,0.0,0.0,3.0,7.0,990.0,280.0,1970.0,0.0,98199.0,47.6581,-122.396,1920.0,54.35
4.0,2.0,1910.0,2874.0,1.0,0.0,0.0,3.0,7.0,1060.0,850.0,1910.0,0.0,98122.0,47.6101,-122.295,1520.0,49.3
3.0,1.0,1210.0,3328.0,1.5,0.0,0.0,4.0,7.0,1210.0,0.0,1924.0,0.0,98107.0,47.6729,-122.363,1640.0,52.9
3.0,1.75,2500.0,6840.0,1.0,0.0,0.0,3.0,8.0,1300.0,1200.0,1957.0,0.0,98125.0,47.7222,-122.32,1580.0,42.5
4.0,2.5,2160.0,7725.0,1.0,0.0,0.0,4.0,8.0,1460.0,700.0,1978.0,0.0,98023.0,47.3078,-122.378,2060.0,29.5
3.0,1.75,1450.0,12125.0,1.0,0.0,0.0,4.0,7.0,1450.0,0.0,1981.0,0.0,98001.0,47.3575,-122.28,1210.0,24.3
3.0,2.5,2010.0,2287.0,2.0,0.0,0.0,3.0,8.0,1390.0,620.0,2014.0,0.0,98029.0,47.5517,-121.998,1690.0,45.3246
4.0,2.0,1400.0,3600.0,1.0,0.0,0.0,3.0,7.0,1100.0,300.0,1900.0,0.0,98119.0,47.6385,-122.37,1630.0,48.5
5.0,1.75,1660.0,78408.0,1.5,0.0,0.0,3.0,6.0,1660.0,0.0,1915.0,0.0,98065.0,47.529,-121.837,1660.0,20.1
4.0,3.25,4670.0,51836.0,2.0,0.0,0.0,4.0,12.0,4670.0,0.0,1988.0,0.0,98005.0,47.635,-122.164,4230.0,158.0
4.0,2.25,3250.0,34293.0,2.0,0.0,0.0,4.0,9.0,3250.0,0.0,1983.0,0.0,98042.0,47.3496,-122.094,3110.0,48.0
3.0,1.0,1180.0,5650.0,1.0,0.0,0.0,3.0,7.0,1180.0,0.0,1955.0,0.0,98178.0,47.5112,-122.257,1340.0,22.19
3.0,2.0,2590.0,14052.0,1.0,0.0,0.0,5.0,8.0,1720.0,870.0,1948.0,0.0,98133.0,47.7357,-122.333,1570.0,48.7
3.0,1.75,1530.0,7245.0,1.0,0.0,0.0,4.0,7.0,1530.0,0.0,1984.0,0.0,98034.0,47.731,-122.191,1530.0,44.0
2.0,2.0,1070.0,649.0,2.0,0.0,0.0,3.0,9.0,720.0,350.0,2008.0,0.0,98106.0,47.5213,-122.357,1070.0,25.995
3.0,2.0,2920.0,13650.0,1.0,0.0,2.0,5.0,8.0,1460.0,1460.0,1975.0,0.0,98033.0,47.6652,-122.188,2920.0,79.5
4.0,3.25,4740.0,76230.0,2.0,0.0,0.0,3.0,10.0,4740.0,0.0,1987.0,0.0,98075.0,47.5931,-122.071,3340.0,97.0
3.0,1.5,1050.0,4590.0,1.0,0.0,0.0,3.0,7.0,850.0,200.0,1949.0,0.0,98115.0,47.6943,-122.29,1770.0,43.8924
4.0,2.5,1820.0,6753.0,2.0,0.0,0.0,3.0,7.0,1820.0,0.0,1994.0,0.0,98038.0,47.3845,-122.032,1820.0,32.25
3.0,1.5,1340.0,7912.0,1.5,0.0,0.0,3.0,7.0,1340.0,0.0,1955.0,0.0,98133.0,47.7658,-122.339,1480.0,31.3
4.0,2.75,2750.0,17789.0,1.5,0.0,0.0,3.0,8.0,1980.0,770.0,1914.0,1992.0,98004.0,47.6141,-122.212,3060.0,145.0
4.0,2.5,3840.0,16619.0,2.0,0.0,1.0,4.0,10.0,3840.0,0.0,1983.0,0.0,98040.0,47.5634,-122.213,3600.0,112.0
2.0,1.0,950.0,3960.0,1.0,0.0,0.0,3.0,7.0,950.0,0.0,1941.0,0.0,98103.0,47.6885,-122.337,1320.0,48.2
3.0,1.75,1790.0,9813.0,2.0,0.0,0.0,3.0,7.0,1790.0,0.0,1949.0,0.0,98155.0,47.749,-122.305,1520.0,45.1
1.0,1.5,1010.0,1157.0,2.0,0.0,0.0,3.0,8.0,950.0,60.0,2007.0,0.0,98126.0,47.5492,-122.372,1360.0,20.0
4.0,2.5,1980.0,7403.0,2.0,0.0,0.0,3.0,7.0,1980.0,0.0,1988.0,0.0,98023.0,47.2897,-122.372,1980.0,24.35
3.0,2.25,1580.0,47916.0,1.0,0.0,0.0,3.0,7.0,1580.0,0.0,1979.0,0.0,98024.0,47.5583,-121.852,1980.0,35.0
4.0,3.0,2380.0,5125.0,1.5,0.0,0.0,4.0,7.0,1680.0,700.0,1925.0,0.0,98126.0,47.5384,-122.376,1410.0,47.0
3.0,1.75,1080.0,1306.0,1.0,0.0,0.0,3.0,7.0,580.0,500.0,1954.0,2003.0,98199.0,47.6601,-122.4,1440.0,33.1
5.0,2.5,1710.0,7700.0,1.5,0.0,0.0,3.0,7.0,1710.0,0.0,1962.0,0.0,98007.0,47.5922,-122.146,1530.0,43.165
5.0,2.25,3200.0,20158.0,1.0,0.0,0.0,3.0,8.0,1600.0,1600.0,1965.0,0.0,98004.0,47.6303,-122.215,3390.0,133.0
4.0,1.75,2950.0,9025.0,1.0,0.0,2.0,4.0,8.0,1780.0,1170.0,1975.0,0.0,98034.0,47.7128,-122.223,2120.0,63.0
4.0,2.25,2010.0,9603.0,1.0,0.0,0.0,3.0,8.0,1440.0,570.0,1986.0,0.0,98027.0,47.5343,-122.054,2060.0,66.05
4.0,5.0,4550.0,18641.0,1.0,1.0,4.0,3.0,10.0,2600.0,1950.0,2002.0,0.0,98074.0,47.6053,-122.077,4550.0,308.0
2.0,1.0,940.0,5120.0,1.0,0.0,0.0,3.0,7.0,940.0,0.0,1909.0,0.0,98122.0,47.6073,-122.308,1300.0,37.5
